record_index,section,data_title,data_slug,data_category,data_duration,match_status,confidence,image_category,image_program_folder,cover_path,gallery_path,cover_alt,gallery_alt,replacement_recommended,warning,validation_status,notes
40,tour,3 Days Casablanca: Chefchaouen & Fes,3-days-casablanca-chefchaouen-and-fes,Tours from Casablanca,3 days / 2 nights,normalized-exact,0.95,Desert Tours from Casablanca,3-day Casablanca to Chefchaouen and Fes,assets/images/programs/Desert Tours from Casablanca/3-day Casablanca to Chefchaouen and Fes/3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,assets/images/programs/Desert Tours from Casablanca/3-day Casablanca to Chefchaouen and Fes/3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,Sunlit blue street beneath an old olive tree in Chefchaouen,Craft stalls with ceramics and paintings in a Fes medina lane,no,clean; medium-confidence-subject; limited-compression-benefit,ok,
41,tour,3 Days Casablanca: Marrakech & Essaouira,3-days-casablanca-marrakech-and-essaouira,Tours from Casablanca,3 days / 2 nights,normalized-exact,0.95,Desert Tours from Casablanca,3-day Casablanca to Marrakech and Essaouira,assets/images/programs/Desert Tours from Casablanca/3-day Casablanca to Marrakech and Essaouira/3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,assets/images/programs/Desert Tours from Casablanca/3-day Casablanca to Marrakech and Essaouira/3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,Historic cannons on the Skala ramparts above the Essaouira shore,Baskets and woodwork filling a covered souk in Marrakech,no,low-resolution; limited-compression-benefit; limited-compression-benefit,ok,
42,tour,5 Days Casablanca Sahara Desert,5-days-casablanca-sahara-desert,Tours from Casablanca,5 days / 4 nights,normalized-exact,0.95,Desert Tours from Casablanca,5-day Casablanca to Sahara desert,assets/images/programs/Desert Tours from Casablanca/5-day Casablanca to Sahara desert/5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,assets/images/programs/Desert Tours from Casablanca/5-day Casablanca to Sahara desert/5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,Camel caravan crossing the Erg Chebbi dunes at sunset,Ait Benhaddou ksar on its hillside in soft evening light,no,low-resolution; clean,ok,
43,tour,7 Days Sahara & Imperial Cities,7-days-sahara-and-imperial-cities,Tours from Casablanca,7 days / 6 nights,high-confidence,0.88,Desert Tours from Casablanca,7-day Casablanca to imperial cities and Sahara,assets/images/programs/Desert Tours from Casablanca/7-day Casablanca to imperial cities and Sahara/7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,assets/images/programs/Desert Tours from Casablanca/7-day Casablanca to imperial cities and Sahara/7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,Ornate tiled facade of the Bab Mansour gate in Meknes,Berber rugs and tents of a Sahara desert camp at dusk,no,clean; low-resolution; limited-compression-benefit,ok,Record title omits Casablanca but category and Day 1 (Casablanca to Rabat and Chefchaouen) confirm the same program.
44,tour,9 Days Private Tour from Casablanca,9-days-private-tour-from-casablanca,Tours from Casablanca,9 days / 8 nights,normalized-exact,0.98,Desert Tours from Casablanca,9-day private tour from Casablanca,assets/images/programs/Desert Tours from Casablanca/9-day private tour from Casablanca/9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,assets/images/programs/Desert Tours from Casablanca/9-day private tour from Casablanca/9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,Road running through the red rock walls of the Todra gorge area,Boats moored in the Agadir marina beneath white apartment buildings,no,medium-confidence-subject; limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
45,tour,2 Days Casablanca to Chefchaouen,2-days-casablanca-to-chefchaouen,Tours from Casablanca,2 days / 1 nights,normalized-exact,0.98,Desert Tours from Casablanca,2-day Casablanca to Chefchaouen,assets/images/programs/Desert Tours from Casablanca/2-day Casablanca to Chefchaouen/2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,assets/images/programs/Desert Tours from Casablanca/2-day Casablanca to Chefchaouen/2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,Blue-painted stairway and doorways in the Chefchaouen medina,Handwoven rugs displayed along a lane in the Chefchaouen medina,no,low-resolution; limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
46,tour,4 Days Atlas & Zagora Desert Tour,4-days-atlas-and-zagora-desert-tour,Combined Tours,4 days,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
47,tour,5 Days Toubkal & Merzouga Tour,5-days-toubkal-and-merzouga-tour,Combined Tours,5 days,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
48,tour,Marrakech to Essaouira Day Trip,marrakech-to-essaouira-day-trip,Marrakech Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
49,tour,Agafay Desert Tour from Marrakech,agafay-desert-tour-from-marrakech,Marrakech Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
50,tour,Marrakech to Ait Benhaddou Day Trip,marrakech-to-ait-benhaddou-day-trip,Marrakech Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
51,tour,Marrakech to Ourika Valley Day Trip,marrakech-to-ourika-valley-day-trip,Marrakech Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
52,tour,Marrakech to Ouzoud Waterfalls Day Trip,marrakech-to-ouzoud-waterfalls-day-trip,Marrakech Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
53,tour,Fes to Atlas Mountains Day Trip,fes-to-atlas-mountains-day-trip,Fes Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
54,tour,Fes to Chefchaouen Day Trip,fes-to-chefchaouen-day-trip,Fes Day Trips,1 long day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
55,tour,Meknes & Volubilis Day Trip from Fes,meknes-and-volubilis-day-trip-from-fes,Fes Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
56,tour,Rabat Day Trip from Fes,rabat-day-trip-from-fes,Fes Day Trips,1 long day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
57,tour,Guided Medina Tour in Fes,guided-medina-tour-in-fes,Fes Day Trips,Half day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
58,tour,Casablanca to Fes Day Trip,casablanca-to-fes-day-trip,Casablanca Day Trips,1 long day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
59,tour,Casablanca to Marrakech Day Trip,casablanca-to-marrakech-day-trip,Casablanca Day Trips,1 long day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
60,tour,Casablanca to Rabat Day Trip,casablanca-to-rabat-day-trip,Casablanca Day Trips,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
61,tour,15-Day Spain & Morocco Private Tour,15-day-spain-and-morocco-private-tour,Spain & Morocco Tours,,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
62,activity,Marrakech Horse Riding Tour,marrakech-horse-riding-tour,Marrakech Activities,2 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
63,activity,Agafay Desert Tour from Marrakech — Luxury Camp,agafay-desert-tour-from-marrakech-luxury-camp,Marrakech Activities,1 night,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
64,activity,Marrakech Camel Ride — Palmeraie,marrakech-camel-ride-palmeraie,Marrakech Activities,2 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
65,activity,Chez Ali Fantasia Show,chez-ali-fantasia-show,Marrakech Activities,,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
66,activity,Marrakech Hot Air Balloon,marrakech-hot-air-balloon,Marrakech Activities,3 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
67,activity,Marrakech Cooking Class,marrakech-cooking-class,Marrakech Activities,4 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
68,activity,Marrakech Food Tour — Medina Street Food,marrakech-food-tour-medina-street-food,Marrakech Activities,4 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
69,activity,Marrakech Hammam & Moroccan Massage,marrakech-hammam-and-moroccan-massage,Marrakech Activities,2 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
70,activity,Marrakech Jewish Heritage Tour — Full Day,marrakech-jewish-heritage-tour-full-day,Marrakech Activities,1 day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
71,activity,Marrakech Medina Tour — Half-Day,marrakech-medina-tour-half-day,Marrakech Activities,Half day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
72,activity,Marrakech Quad Biking & Buggy Ride,marrakech-quad-biking-and-buggy-ride,Marrakech Activities,2 hours,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
73,activity,Marrakech Gardens Tour — Majorelle & Menara,marrakech-gardens-tour-majorelle-and-menara,Marrakech Activities,Half day,unmatched-record,0,,,,,,,,,ok,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
74,trekking,2 Days Toubkal Trekking,2-days-toubkal-trekking,Atlas Trekking,2 days · 1 night,normalized-exact,0.97,Atlas Trekkings,2-day Toubkal trekking,assets/images/programs/Atlas Trekkings/2-day Toubkal trekking/2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,assets/images/programs/Atlas Trekkings/2-day Toubkal trekking/2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,Trekkers gathered at the snow-covered summit marker of Mount Toubkal,Hiker standing on a rocky ridge overlooking the High Atlas ranges,no,extension-mismatch-corrected; clean,ok,
75,trekking,3 Days Berber Villages Trek,3-days-berber-villages-trek,Atlas Trekking,3 days · 2 nights,normalized-exact,0.97,Atlas Trekkings,3-day Berber villages trek,assets/images/programs/Atlas Trekkings/3-day Berber villages trek/3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,assets/images/programs/Atlas Trekkings/3-day Berber villages trek/3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,Berber village and green farming terraces in the Imlil valley,Trekking group following a stony trail through the High Atlas,no,clean; low-resolution; limited-compression-benefit,ok,
76,trekking,3 Days Toubkal Summit Trek,3-days-toubkal-summit-trek,Atlas Trekking,3 days · 2 nights,high-confidence,0.85,Atlas Trekkings,3-day Toubkal trekking tour,assets/images/programs/Atlas Trekkings/3-day Toubkal trekking tour/3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,assets/images/programs/Atlas Trekkings/3-day Toubkal trekking tour/3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,Trekker with raised arms in a snow-filled valley below Toubkal,Clouds drifting over villages in the Imlil valley of the Atlas Mountains,no,clean; limited-compression-benefit,ok,"Folder says 'trekking tour', record says 'Summit Trek'; same program - only 3-day Toubkal trek in both sets."
