record_index,section,data_title,data_slug,data_category,data_duration,image_category,image_program_folder,cover_filename,gallery_filename,match_status,confidence,matching_evidence,conflict,recommended_action,notes
66,activity,Marrakech Hot Air Balloon,marrakech-hot-air-balloon,Marrakech Activities,3 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
67,activity,Marrakech Cooking Class,marrakech-cooking-class,Marrakech Activities,4 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
68,activity,Marrakech Food Tour — Medina Street Food,marrakech-food-tour-medina-street-food,Marrakech Activities,4 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
69,activity,Marrakech Hammam & Moroccan Massage,marrakech-hammam-and-moroccan-massage,Marrakech Activities,2 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
70,activity,Marrakech Jewish Heritage Tour — Full Day,marrakech-jewish-heritage-tour-full-day,Marrakech Activities,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
71,activity,Marrakech Medina Tour — Half-Day,marrakech-medina-tour-half-day,Marrakech Activities,Half day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
72,activity,Marrakech Quad Biking & Buggy Ride,marrakech-quad-biking-and-buggy-ride,Marrakech Activities,2 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
73,activity,Marrakech Gardens Tour — Majorelle & Menara,marrakech-gardens-tour-majorelle-and-menara,Marrakech Activities,Half day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
74,trekking,2 Days Toubkal Trekking,2-days-toubkal-trekking,Atlas Trekking,2 days · 1 night,Atlas Trekkings,2-day Toubkal trekking,2-day-toubkal-trekking-toubkal-summit-snow-trekkers-cover.webp,2-day-toubkal-trekking-atlas-mountains-hiker-viewpoint-gallery.webp,normalized-exact,0.97,Duration matches: 2 days | Trekking section matches Atlas Trekking category | Title identical after normalization,,assign,
75,trekking,3 Days Berber Villages Trek,3-days-berber-villages-trek,Atlas Trekking,3 days · 2 nights,Atlas Trekkings,3-day Berber villages trek,3-day-berber-villages-trek-imlil-valley-berber-village-terraces-cover.webp,3-day-berber-villages-trek-high-atlas-trekking-group-trail-gallery.webp,normalized-exact,0.97,Duration matches: 3 days | Trekking section | Title identical after normalization,,assign,
76,trekking,3 Days Toubkal Summit Trek,3-days-toubkal-summit-trek,Atlas Trekking,3 days · 2 nights,Atlas Trekkings,3-day Toubkal trekking tour,3-day-toubkal-trekking-tour-toubkal-snowy-valley-trekker-cover.webp,3-day-toubkal-trekking-tour-imlil-valley-atlas-panorama-gallery.webp,high-confidence,0.85,Duration matches: 3 days | Trekking section | Only remaining 3-day Toubkal trek; summit trek = Toubkal trekking tour | Images show Toubkal high valleys,,assign,"Folder says 'trekking tour', record says 'Summit Trek'; same program - only 3-day Toubkal trek in both sets."
